"State","gdpPerCapita","gdp"
"New York","0.0882","1701399"
"Massachusetts","0.0833","575635"
"Connecticut","0.0787","279653"
"Delaware","0.0773","76537"
"California","0.0762","3018337"
"Alaska","0.0757","54851"
"Washington","0.0740","576624"
"North Dakota","0.0723","55657"
"New Jersey","0.0715","634721"
"Illinois","0.0700","879947"
"Maryland","0.0689","417776"
"Wyoming","0.0687","39899"
"Hawaii","0.0664","93419"
"Minnesota","0.0657","374920"
"Colorado","0.0640","376994"
"Nebraska","0.0639","124742"
"Virginia","0.0633","544348"
"Pennsylvania","0.0627","803307"
"New Hampshire","0.0627","86046"
"Texas","0.0612","1818585"
"Iowa","0.0608","192608"
"Ohio","0.0588","689139"
"South Dakota","0.0586","52544"
"Wisconsin","0.0585","342470"
"Kansas","0.0581","169558"
"Rhode Island","0.0578","61341"
"Oregon","0.0567","243085"
"Georgia","0.0555","601503"
"Louisiana","0.0552","255492"
"Vermont","0.0548","34154"
"Utah","0.0546","180862"
"Indiana","0.0546","371629"
"Tennessee","0.0538","373663"
"North Carolina","0.0538","575605"
"Michigan","0.0537","537087"
"Nevada","0.0530","168752"
"Missouri","0.0524","323287"
"Oklahoma","0.0509","203250"
"Florida","0.0483","1059144"
"Maine","0.0482","65349"
"New Mexico","0.0482","101452"
"Arizona","0.0472","355311"
"Kentucky","0.0472","211621"
"Montana","0.0457","49635"
"Alabama","0.0455","224654"
"West Virginia","0.0448","79168"
"South Carolina","0.0444","234367"
"Arkansas","0.0428","129812"
"Idaho","0.0423","78640"
"Mississippi","0.0390","115749"
